stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
586f276a-1281-4eb5-a884-33d614762a9f,"1110","Squires Ebnd","710",37.229801,-80.418638,0,0
a72d2401-4e5d-488f-8fee-c2f71dca7ba6,"1111","Alumni Mall Ebnd","711",37.2310776848243,-80.416608775652,0,0
3222511f-4975-4c00-a3e4-7453ac4de636,"1600","Main/Roanoke Sbnd","127",37.2296990293085,-80.414330238958,0,0
ee28b9e7-193c-4b09-adba-9963953b48fe,"1601","Blacksburg Municipal Building","129",37.227610929466,-80.4120825476696,0,0
d716388c-aa94-4c2a-a087-b8514aab546d,"1602","Main/Eheart Sbnd","130",37.2256623045005,-80.4099501913756,0,0
8ac8ba96-4fd0-4a89-a801-6700ef28c19a,"1603","Main/Eakin Sbnd","131",37.2247972920416,-80.4089886193865,0,0
3701d4c3-27bf-45cc-beda-85904a1a2299,"1635","Main/Hemlock Sbnd","166",37.2237793936598,-80.407884890311,0,0
0ec1dd20-1c99-446b-aac0-6ef28f9cf48f,"1605","Main/Airport Sbnd","133",37.2221968902467,-80.4061307255108,0,0
aa51b915-21f6-486f-bd42-de561857a9ed,"1606","Main/Faystone Sbnd","134",37.2195750307783,-80.4032218696607,0,0
3d4a3fd2-4cc7-4b91-b1f8-50d1c3508162,"1607","Gables Shopping Center","135",37.2155959734676,-80.4008065402988,0,0
aa32712b-d025-47d7-b1bd-ed1141cec2a1,"1608","Main/Landsdowne Sbnd","137",37.2131216355039,-80.4001131892272,0,0
4cbe4f1f-79be-4a8a-be73-8f524cf7f6cf,"1648","Main/King Sbnd",,37.2111032730999,-80.3996236860528,0,0
17b10429-36a3-48fe-b698-91cdf8092d17,"1609","Fairfax/Ellett Ebnd","139",37.20866514496,-80.3967295823532,0,0
d86b4c50-35de-4403-bb52-6b8476234ea2,"1610","Fairfax/New Kent Ebnd","140",37.2089762812243,-80.3960590300595,0,0
eadeb692-e84a-4879-8dd3-5bb5a4d2282d,"1611","New Kent/Loudon Ebnd","141",37.2099539464685,-80.3956607219971,0,0
f00b0638-3776-4120-83b3-364ae3f0a1ff,"1612","New Kent/Sussex Ebnd","142",37.2114707357568,-80.393687957149,0,0
e0c9c5c4-eeca-4fc2-9311-3c82a8bd10a0,"1613","Grissom/Nellies Cave Nbnd","143",37.2126602955258,-80.3935498233765,0,0
d17fe72c-9a27-47aa-b149-e18fb0ca6607,"1614","Marlington/Grissom Wbnd","144",37.2130384870194,-80.3941130873032,0,0
d81bb14c-61a8-4ecb-a2d0-27ea6a5df8d3,"1615","Marlington/Emerald Wbnd","145",37.2124577887331,-80.3960751233146,0,0
da476dab-e98f-4911-a809-fb3314bb0956,"1616","Marlington/Grayland Wbnd","146",37.211893,-80.398048,0,0
9d5f680b-74df-4593-8d73-108efcb0c8ef,"1618","Main/Landsdowne Nbnd","148",37.2119293935257,-80.3998033940675,0,0
9af6fa38-89d1-4f42-9791-e7dc76b26067,"1619","Main/Ardmore Nbnd","149",37.2141811081279,-80.4004149377594,0,0
671ac0cc-efc5-4e2a-9169-6723da70849a,"1620","Blacksburg Square","150",37.2157917747373,-80.4008642077961,0,0
0272264e-fd0e-47e2-953a-7a6bfd6f3daa,"1621","Main/Cohee Nbnd","151",37.2193309497434,-80.4029590131616,0,0
f9dbaee6-5583-48b6-a223-7cbe26945b6e,"1622","Main/Sunset Nbnd","152",37.2209335697254,-80.4047762098775,0,0
45f2511d-71a1-47e0-af1e-c9378a0eff29,"1623","Main/Graves Nbnd","153",37.2223725749476,-80.4063292089897,0,0
6ed695a6-478b-4e4d-affb-be930d1452f1,"1624","Main/Hemlock Nbnd","154",37.223944349524,-80.4080511872799,0,0
886ec068-1d6d-455f-95c5-0141e2024e86,"1625","Main/Eakin Nbnd","155",37.2251164749334,-80.4093480354159,0,0
99f5eccf-1e59-4aa2-b817-dc3bcd06eb3b,"1626","Main/Clay Nbnd","156",37.2267633513667,-80.4111652321318,0,0
3206d816-0424-4db9-81d7-37eb76b6b3cf,"1627","Main/Lee Nbnd","158",37.2287924426074,-80.4133458681909,0,0
8a3b8d01-af5d-4ebf-82a1-b5944bea6dd5,"1628","Main St Post Office","159",37.229905559415,-80.4145555445287,0,0
58e609e7-c123-4646-8eaa-38d2de783c21,"1101","Burruss Hall","701",37.2284973995982,-80.4228542997154,0,0
54e2007a-a954-4139-9f06-34e1c1bd7889,"1102","Davidson Hall","702",37.2264294163245,-80.4252763346002,0,0
c8659106-b051-474a-8b92-1b480463b584,"1103","West Campus/Perry Nbnd","703",37.2288966668881,-80.4274545214528,0,0
75505b9a-0998-4cab-9c6c-62a706a62a99,"1316","University Mall Nbnd","400",37.2345752855882,-80.4334315915961,0,0
799e9e48-8f5f-4a89-b2c0-9da63317ce1f,"1318","University City/Broce Nbnd","402",37.237403675163,-80.4348933955964,0,0
476242af-1d45-4e26-84c2-67451bb5996f,"1319","Shawnee on University City Nbnd","403",37.241401,-80.434982,0,0
ea8b48b6-0a48-46f9-b7dc-230bbb208fad,"1320","Shawnee on University City Ebnd","404",37.2423308934171,-80.4329045374932,0,0
