service_id,date,exception_type
d430f6a9-97b1-4917-9f11-517e673bfbc4,20230819,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231002,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231115,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20240218,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240401,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20230820,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231003,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231116,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240219,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240402,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230821,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231004,1
5e79d034-6202-4ecd-9def-80be85353af4,20231117,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240220,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240403,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230822,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231005,1
fb69acf9-b556-4f0b-987a-6c88018d2f88,20230814,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240221,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240404,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20231007,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240222,1
5e79d034-6202-4ecd-9def-80be85353af4,20240405,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20231008,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230824,1
5e79d034-6202-4ecd-9def-80be85353af4,20240223,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20240406,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231009,1
fb69acf9-b556-4f0b-987a-6c88018d2f88,20230817,1
5e79d034-6202-4ecd-9def-80be85353af4,20230825,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20240224,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20240407,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231010,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20230826,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20240225,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231011,1
fb69acf9-b556-4f0b-987a-6c88018d2f88,20230904,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240226,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231229,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231207,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231121,1
8d24f388-ee64-45da-add3-d81aad8de27c,20231230,1
fb69acf9-b556-4f0b-987a-6c88018d2f88,20231214,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231122,1
5c56b12a-1966-49a1-aa26-34181619639c,20231231,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231215,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231124,1
2d42c67e-14e6-4f22-aed3-9a807ae58aa1,20231225,1
8d24f388-ee64-45da-add3-d81aad8de27c,20231216,1
8d24f388-ee64-45da-add3-d81aad8de27c,20231125,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20231126,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231127,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231128,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231129,1
5c56b12a-1966-49a1-aa26-34181619639c,20231217,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231218,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231219,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231220,1
33e3e7ed-e3b9-4366-b92c-fd5c0d9f8a4e,20231221,1
fb69acf9-b556-4f0b-987a-6c88018d2f88,20230815,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230823,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20230827,1
e2459c3d-063a-4bac-935d-e524b154fdeb,20231006,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240227,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230828,1
5e79d034-6202-4ecd-9def-80be85353af4,20231013,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240228,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20240302,1
5e79d034-6202-4ecd-9def-80be85353af4,20230901,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231017,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240130,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231031,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20240316,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20240203,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20230917,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231101,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20240317,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240429,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20240204,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230918,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231102,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240318,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240430,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240205,1
5e79d034-6202-4ecd-9def-80be85353af4,20231103,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240319,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240501,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240206,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230920,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20231104,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240502,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20230921,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20231105,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240321,1
fb69acf9-b556-4f0b-987a-6c88018d2f88,20240115,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20240208,1
5e79d034-6202-4ecd-9def-80be85353af4,20230922,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231106,1
5e79d034-6202-4ecd-9def-80be85353af4,20240322,1
2022e0c7-c822-4069-81e5-b9af776a13ea,20240114,1
d430f6a9-97b1-4917-9f11-517e673bfbc4,20230923,1
1bf300d7-f591-4422-bbd3-b85e17fc5a2f,20231107,1
fb69acf9-b556-4f0b-987a-6c88018d2f88,20230816,1
e2459c3d-063a-4bac-935d-e524b154fdeb,20230818,1
